GO.ID,Term,Annotated,Significant,Expected,classic
GO:0001539,cilium or flagellum-dependent cell motil...,10,6,0.18,0.00076
GO:0030317,flagellated sperm motility,10,6,0.18,0.00076
GO:0060285,cilium-dependent cell motility,10,6,0.18,0.00076
GO:0060294,cilium movement involved in cell motilit...,10,6,0.18,0.00076
GO:0097722,sperm motility,10,6,0.18,0.00076
GO:0003341,cilium movement,12,6,0.22,0.00263
GO:0002165,instar larval or pupal development,16,7,0.29,0.00298
GO:0009791,post-embryonic development,30,10,0.55,0.00442
GO:0001700,embryonic development via the syncytial ...,7,4,0.13,0.00816
GO:0007391,dorsal closure,7,4,0.13,0.00816
GO:0007444,imaginal disc development,25,8,0.46,0.01374
GO:0045216,cell-cell junction organization,8,4,0.15,0.01458
GO:0035019,somatic stem cell population maintenance,12,5,0.22,0.01532
GO:0002168,instar larval development,5,3,0.09,0.01970
GO:0007291,sperm individualization,5,3,0.09,0.01970
GO:0007297,ovarian follicle cell migration,5,3,0.09,0.01970
GO:0007298,border follicle cell migration,5,3,0.09,0.01970
GO:0007300,ovarian nurse cell to oocyte transport,5,3,0.09,0.01970
GO:0007303,cytoplasmic transport, nurse cell to ooc...,5,3,0.09,0.01970
GO:0007349,cellularization,5,3,0.09,0.01970
GO:0007591,molting cycle, chitin-based cuticle,5,3,0.09,0.01970
GO:0008363,larval chitin-based cuticle development,5,3,0.09,0.01970
GO:0016333,morphogenesis of follicular epithelium,5,3,0.09,0.01970
GO:0019749,cytoskeleton-dependent cytoplasmic trans...,5,3,0.09,0.01970
GO:0021591,ventricular system development,5,3,0.09,0.01970
GO:0021670,lateral ventricle development,5,3,0.09,0.01970
GO:0030588,pseudocleavage,5,3,0.09,0.01970
GO:0030589,pseudocleavage involved in syncytial bla...,5,3,0.09,0.01970
GO:0034331,cell junction maintenance,5,3,0.09,0.01970
GO:0034643,establishment of mitochondrion localizat...,5,3,0.09,0.01970
GO:0036158,outer dynein arm assembly,5,3,0.09,0.01970
GO:0040003,chitin-based cuticle development,5,3,0.09,0.01970
GO:0042337,cuticle development involved in chitin-b...,5,3,0.09,0.01970
GO:0043954,cellular component maintenance,5,3,0.09,0.01970
GO:0045167,asymmetric protein localization involved...,5,3,0.09,0.01970
GO:0045175,basal protein localization,5,3,0.09,0.01970
GO:0045217,cell-cell junction maintenance,5,3,0.09,0.01970
GO:0047497,mitochondrion transport along microtubul...,5,3,0.09,0.01970
GO:0051646,mitochondrion localization,5,3,0.09,0.01970
GO:0051647,nucleus localization,5,3,0.09,0.01970
GO:0051654,establishment of mitochondrion localizat...,5,3,0.09,0.01970
GO:0055057,neuroblast division,5,3,0.09,0.01970
GO:0055059,asymmetric neuroblast division,5,3,0.09,0.01970
GO:0034330,cell junction organization,27,8,0.49,0.02209
GO:0035172,hemocyte proliferation,33,9,0.6,0.02665
GO:0035206,regulation of hemocyte proliferation,33,9,0.6,0.02665
