BPGOterm	statistic	p.value	parameter	method	p.adj	shortFreq	shortPerc	longFreq	longPerc
abortive.mitotic.cell.cycle	34.2377755978067	4.87729528189629e-09	1	Pearson's Chi-squared test with Yates' continuity correction	2.01857091828159e-07	100	0.0422711440262419	40	0.0146443974196572
acetylcholine.biosynthetic.process	6.77905631642481	0.00922336407883154	1	Pearson's Chi-squared test with Yates' continuity correction	0.0348302461019599	18	0.00760880592472355	6	0.00219665961294858
actin.crosslink.formation	9.21737833866464	0.00239728582545198	1	Pearson's Chi-squared test with Yates' continuity correction	0.0124271422790096	55	0.0232491292144331	32	0.0117155179357257
actin.cytoskeleton.organization	17.4873907389613	2.89219526563043e-05	1	Pearson's Chi-squared test with Yates' continuity correction	0.000371998649203393	265	0.112018531669541	425	0.155596722583857
actin.filament.based.movement	18.5718503483634	1.63618900099531e-05	1	Pearson's Chi-squared test with Yates' continuity correction	0.000224516629762244	23	0.00972236312603564	73	0.0267260252908743
actin.filament.capping	72.6848700155951	1.52095659783532e-17	1	Pearson's Chi-squared test with Yates' continuity correction	3.54797693640494e-15	36	0.0152176118494471	176	0.0644353486464916
actin.filament.polymerization	8.12389861839068	0.00436855146979222	1	Pearson's Chi-squared test with Yates' continuity correction	0.0195631816256315	22	0.00929965168577322	53	0.0194038265810458
actin.filament.severing	8.23063919439712	0.0041189020579744	1	Pearson's Chi-squared test with Yates' continuity correction	0.018558564847695	3	0.00126813432078726	19	0.00695608877433716
actin.polymerization.or.depolymerization	28.4780391577141	9.47673230374743e-08	1	Pearson's Chi-squared test with Yates' continuity correction	2.74771695948202e-06	0	0	35	0.0128138477422
actin.rod.formation	6.07129475167598	0.0137396208538469	1	Pearson's Chi-squared test with Yates' continuity correction	0.0476735701679562	7	0.00295898008183693	0	0
activation.of.adenylate.cyclase.activity	8.30802947112897	0.00394701907141537	1	Pearson's Chi-squared test with Yates' continuity correction	0.0179099043983233	14	0.00591796016367387	40	0.0146443974196572
activation.of.adenylate.cyclase.activity.by.dopamine.receptor.signaling.pathway	18.9630510936501	1.3327449030119e-05	1	Pearson's Chi-squared test with Yates' continuity correction	0.000191051587772544	0	0	24	0.0087866384517943
activation.of.blood.coagulation.via.clotting.cascade	9.49212610132592	0.00206355556298302	1	Pearson's Chi-squared test with Yates' continuity correction	0.0109856505697395	10	0.00422711440262419	0	0
activation.of.caspase.activity	10.1563460871157	0.00143805356467168	1	Pearson's Chi-squared test with Yates' continuity correction	0.0080833416143429	67	0.0283216664975821	126	0.0461298518719201
activation.of.Janus.kinase.activity	12.0204488062051	0.000526200299377525	1	Pearson's Chi-squared test with Yates' continuity correction	0.00373507598396329	30	0.0126813432078726	10	0.00366109935491429
activation.of.JNKK.activity	9.59433451639965	0.00195178650137368	1	Pearson's Chi-squared test with Yates' continuity correction	0.010622023674496	42	0.0177538804910216	21	0.00768830864532002
activation.of.JUN.kinase.activity	13.8314898219435	0.000199956768929176	1	Pearson's Chi-squared test with Yates' continuity correction	0.00175488042137575	453	0.191488282438876	405	0.148274523874029
activation.of.NF.kappaB.inducing.kinase.activity	14.513657105751	0.000139147111067017	1	Pearson's Chi-squared test with Yates' continuity correction	0.0013031076167809	42	0.0177538804910216	98	0.0358787736781601
activation.of.phospholipase.C.activity.by.dopamine.receptor.signaling.pathway	8.61105581569766	0.00334128557177342	1	Pearson's Chi-squared test with Yates' continuity correction	0.015588615958492	0	0	12	0.00439331922589715
activation.of.phospholipase.C.activity.by.serotonin.receptor.signaling.pathway	10.3313683859619	0.00130788205500664	1	Pearson's Chi-squared test with Yates' continuity correction	0.00751629418397994	0	0	14	0.00512553909688001
activation.of.phospholipase.D.activity	6.89554338925828	0.00864108931855073	1	Pearson's Chi-squared test with Yates' continuity correction	0.0332678697545404	0	0	10	0.00366109935491429
activation.of.signaling.protein.activity.involved.in.unfolded.protein.response	15.0641922201732	0.000103915953481809	1	Pearson's Chi-squared test with Yates' continuity correction	0.00103152161173819	84	0.0355077609820432	48	0.0175732769035886
activin.receptor.signaling.pathway	24.4355829884831	7.68363426789133e-07	1	Pearson's Chi-squared test with Yates' continuity correction	1.6923781572025e-05	12	0.00507253728314903	60	0.0219665961294858
acute.inflammatory.response	16.3705190008462	5.20891558082601e-05	1	Pearson's Chi-squared test with Yates' continuity correction	0.000578618068415564	0	0	21	0.00768830864532002
acute.phase.response	6.71760170791137	0.00954659183415072	1	Pearson's Chi-squared test with Yates' continuity correction	0.0359187018276111	54	0.0228264177741706	35	0.0128138477422
adherens.junction.maintenance	6.04058442769929	0.0139806553201041	1	Pearson's Chi-squared test with Yates' continuity correction	0.0476735701679562	0	0	9	0.00329498941942286
adipose.tissue.development	20.6877153674609	5.40617326610854e-06	1	Pearson's Chi-squared test with Yates' continuity correction	8.92105504876817e-05	15	0.00634067160393629	61	0.0223327060649772
adult.feeding.behavior	10.3313683859619	0.00130788205500664	1	Pearson's Chi-squared test with Yates' continuity correction	0.00751629418397994	0	0	14	0.00512553909688001
adult.heart.development	30.632784199573	3.11780769992923e-08	1	Pearson's Chi-squared test with Yates' continuity correction	9.87690686175113e-07	27	0.0114132088870853	99	0.0362448836136515
