Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
zr3616_1_R1	34.18264645716117	20.0	119.40540163444179	9.090909090909092	162780101.0
zr3616_1_R2	34.084419350405454	20.0	119.39334384612528	18.181818181818183	162780101.0
zr3616_2_R1	34.192167885514195	19.0	119.29890696985848	9.090909090909092	168555919.0
zr3616_2_R2	33.994918735826104	19.0	119.29940497076225	18.181818181818183	168555919.0
zr3616_3_R1	35.53143559049356	20.0	114.52735735063355	9.090909090909092	190890981.0
zr3616_3_R2	35.36685101096579	20.0	114.52055622261169	18.181818181818183	190890981.0
zr3616_4_R1	35.53322513299733	19.0	117.21030046804113	9.090909090909092	199920896.0
zr3616_4_R2	35.16019794835162	20.0	117.21389416441991	18.181818181818183	199920896.0
zr3616_5_R1	31.7063712993192	19.0	115.7132140241212	9.090909090909092	150419008.0
zr3616_5_R2	31.917874452768487	20.0	115.70688973696728	18.181818181818183	150419008.0
zr3616_6_R1	35.46814730783832	20.0	113.95211886960148	9.090909090909092	197572800.0
zr3616_6_R2	35.3666238675369	20.0	113.96854496165464	18.181818181818183	197572800.0
zr3616_7_R1	31.048500776040513	19.0	116.21551339322717	9.090909090909092	150811300.0
zr3616_7_R2	30.951185751543193	19.0	116.19807013134957	9.090909090909092	150811300.0
zr3616_8_R1	32.7238208965221	19.0	116.60630923339178	9.090909090909092	163170949.0
zr3616_8_R2	32.44672993540216	19.0	116.61480919008444	18.181818181818183	163170949.0
