BPGOterm	shortFreq	shortPerc	longFreq	longPerc
6	0.00253626864157452	'de novo' actin filament nucleation	18	0.00658997883884573
4	0.00169084576104968	'de novo' GDP-L-fucose biosynthetic process	8	0.00292887948393143
7	0.00295898008183693	'de novo' IMP biosynthetic process	10	0.00366109935491429
10	0.00422711440262419	'de novo' posttranslational protein folding	6	0.00219665961294858
12	0.00507253728314903	'de novo' protein folding	31	0.0113494080002343
47	0.0198674376923337	'de novo' pyrimidine base biosynthetic process	48	0.0175732769035886
0	0	(R)-2-hydroxyglutarate dehydrogenase activity	0	0
0	0	(R)-3-amino-2-methylpropionate-pyruvate transaminase activity	0	0
0	0	(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity	0	0
0	0	(S)-3-amino-2-methylpropionate transaminase activity	0	0
0	0	(S)-coclaurine-N-methyltransferase activity	0	0
0	0	[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity	0	0
0	0	[acetyl-CoA carboxylase] kinase activity	0	0
0	0	[acyl-carrier-protein] S-acetyltransferase activity	0	0
0	0	[acyl-carrier-protein] S-malonyltransferase activity	0	0
0	0	[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity	0	0
0	0	[heparan sulfate]-glucosamine 3-sulfotransferase 3 activity	0	0
0	0	[heparan sulfate]-glucosamine N-sulfotransferase activity	0	0
0	0	[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity	0	0
0	0	[methionine synthase] reductase activity	0	0
0	0	[pyruvate dehydrogenase (lipoamide)] phosphatase activity	0	0
0	0	1-acylglycerol-3-phosphate O-acyltransferase activity	0	0
0	0	1-acylglycerophosphocholine O-acyltransferase activity	0	0
0	0	1-alkyl-2-acetylglycerophosphocholine esterase activity	0	0
0	0	1-alkylglycerophosphocholine O-acetyltransferase activity	0	0
0	0	1-alpha,25-dihydroxyvitamin D3 24-hydroxylase activity	0	0
0	0	1-aminocyclopropane-1-carboxylate deaminase activity	0	0
0	0	1-aminocyclopropane-1-carboxylate oxidase activity	0	0
0	0	1-phosphatidylinositol 4-kinase activity	0	0
0	0	1-phosphatidylinositol-3-kinase activity	0	0
0	0	1-phosphatidylinositol-3-kinase regulator activity	0	0
0	0	1-phosphatidylinositol-3-phosphate 5-kinase activity	0	0
0	0	1-phosphatidylinositol-4-phosphate 3-kinase, class IA complex	0	0
0	0	1-phosphatidylinositol-4-phosphate 5-kinase activity	0	0
0	0	1-phosphatidylinositol-5-phosphate 4-kinase activity	0	0
0	0	1-pyrroline dehydrogenase activity	0	0
0	0	1-pyrroline-5-carboxylate dehydrogenase activity	0	0
0	0	1,3-alpha-L-fucosidase activity	0	0
0	0	1,3-beta-glucan catabolic process	0	0
0	0	1,4-alpha-glucan branching enzyme activity	0	0
6	0.00253626864157452	10-formyltetrahydrofolate biosynthetic process	4	0.00146443974196572
4	0.00169084576104968	10-formyltetrahydrofolate catabolic process	3	0.00109832980647429
0	0	11-beta-hydroxysteroid dehydrogenase activity	0	0
0	0	11-cis retinal binding	0	0
0	0	15-hydroxyprostaglandin dehydrogenase (NAD+) activity	0	0
0	0	15-hydroxyprostaglandin dehydrogenase (NADP+) activity	0	0
0	0	15-oxoprostaglandin 13-oxidase activity	0	0
0	0	17-alpha-hydroxyprogesterone aldolase activity	0	0
0	0	2 iron, 2 sulfur cluster binding	0	0
0	0	2-acylglycerol O-acyltransferase activity	0	0
0	0	2-acylglycerol-3-phosphate O-acyltransferase activity	0	0
0	0	2-alkenal reductase activity	0	0
0	0	2-aminoadipate transaminase activity	0	0
0	0	2-aminoethylphosphonate-pyruvate transaminase activity	0	0
0	0	2-dehydropantoate 2-reductase activity	0	0
0	0	2-hydroxyglutarate dehydrogenase activity	0	0
0	0	2-methylcitrate dehydratase activity	0	0
0	0	2-oxobutyrate biosynthetic process	0	0
21	0.0088769402455108	2-oxoglutarate metabolic process	30	0.0109832980647429
0	0	2-oxopent-4-enoate hydratase activity	0	0
0	0	2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity	0	0
0	0	2,3-bisphospho-D-glycerate 2-phosphohydrolase activity	0	0
0	0	2,3-dihydroxybenzoate-serine ligase activity	0	0
0	0	2,4-dienoyl-CoA reductase (NADPH) activity	0	0
0	0	2,4,6-trinitrotoluene catabolic process	0	0
0	0	2'-5'-oligoadenylate synthetase activity	0	0
0	0	2',3'-cyclic-nucleotide 2'-phosphodiesterase activity	0	0
0	0	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity	0	0
0	0	25-hydroxycholecalciferol-24-hydroxylase activity	0	0
0	0	3 iron, 4 sulfur cluster binding	0	0
0	0	3-alpha(17-beta)-hydroxysteroid dehydrogenase (NAD+) activity	0	0
0	0	3-beta-hydroxy-delta5-steroid dehydrogenase activity	0	0
0	0	3-chloroallyl aldehyde dehydrogenase activity	0	0
0	0	3-dehydrosphinganine reductase activity	0	0
0	0	3-demethylubiquinone-9 3-O-methyltransferase activity	0	0
