geneID,Uniprot,evalue,Product,GOSlim
CGI_10000428,Q52KJ8,6e-41,Methionine-R-sulfoxide reductase B1 (MsrB1) (EC 1.8.4.-) (Selenoprotein X) (SelX),cell organization and biogenesis
CGI_10000428,Q52KJ8,6e-41,Methionine-R-sulfoxide reductase B1 (MsrB1) (EC 1.8.4.-) (Selenoprotein X) (SelX),protein metabolism
CGI_10000428,Q52KJ8,6e-41,Methionine-R-sulfoxide reductase B1 (MsrB1) (EC 1.8.4.-) (Selenoprotein X) (SelX),stress response
CGI_10000485,Q4R7X9,2e-38,Protein LMBR1L,cell organization and biogenesis
CGI_10000485,Q4R7X9,2e-38,Protein LMBR1L,transport
CGI_10000789,Q15369,5e-37,Elongin-C (EloC) (Elongin 15 kDa subunit) (RNA polymerase II transcription factor SIII subunit C) (SIII p15) (Transcription elongation factor B polypeptide 1),protein metabolism
CGI_10000789,Q15369,5e-37,Elongin-C (EloC) (Elongin 15 kDa subunit) (RNA polymerase II transcription factor SIII subunit C) (SIII p15) (Transcription elongation factor B polypeptide 1),RNA metabolism
CGI_10001200,Q93034,0,Cullin-5 (CUL-5) (Vasopressin-activated calcium-mobilizing receptor 1) (VACM-1),protein metabolism
CGI_10001200,Q93034,0,Cullin-5 (CUL-5) (Vasopressin-activated calcium-mobilizing receptor 1) (VACM-1),cell cycle and proliferation
CGI_10001200,Q93034,0,Cullin-5 (CUL-5) (Vasopressin-activated calcium-mobilizing receptor 1) (VACM-1),stress response
CGI_10001223,Q32NQ8,3e-75,RING finger protein 10,RNA metabolism
CGI_10001223,Q32NQ8,3e-75,RING finger protein 10,developmental processes
CGI_10001223,Q32NQ8,3e-75,RING finger protein 10,cell cycle and proliferation
CGI_10001358,Q9R1R2,3e-13,Tripartite motif-containing protein 3 (RING finger protein 22) (RING finger protein HAC1),protein metabolism
CGI_10001358,Q9R1R2,3e-13,Tripartite motif-containing protein 3 (RING finger protein 22) (RING finger protein HAC1),transport
CGI_10001451,Q9HBY0,1e-43,NADPH oxidase 3 (EC 1.6.3.-) (Mitogenic oxidase 2) (MOX-2) (gp91phox homolog 3) (GP91-3),other metabolic processes
CGI_10001451,Q9HBY0,1e-43,NADPH oxidase 3 (EC 1.6.3.-) (Mitogenic oxidase 2) (MOX-2) (gp91phox homolog 3) (GP91-3),developmental processes
CGI_10001721,Q08DZ8,2e-15,DNA-directed primase/polymerase protein (EC 2.7.7.-) (Coiled-coil domain-containing protein 111),DNA metabolism
CGI_10001721,Q08DZ8,2e-15,DNA-directed primase/polymerase protein (EC 2.7.7.-) (Coiled-coil domain-containing protein 111),cell organization and biogenesis
CGI_10001721,Q08DZ8,2e-15,DNA-directed primase/polymerase protein (EC 2.7.7.-) (Coiled-coil domain-containing protein 111),stress response
CGI_10001789,P11276,2e-13,Fibronectin (FN) [Cleaved into: Anastellin],other metabolic processes
CGI_10001789,P11276,2e-13,Fibronectin (FN) [Cleaved into: Anastellin],cell adhesion
CGI_10001789,P11276,2e-13,Fibronectin (FN) [Cleaved into: Anastellin],protein metabolism
CGI_10001789,P11276,2e-13,Fibronectin (FN) [Cleaved into: Anastellin],cell cycle and proliferation
CGI_10001789,P11276,2e-13,Fibronectin (FN) [Cleaved into: Anastellin],signal transduction
CGI_10001789,P11276,2e-13,Fibronectin (FN) [Cleaved into: Anastellin],stress response
CGI_10001789,P11276,2e-13,Fibronectin (FN) [Cleaved into: Anastellin],developmental processes
CGI_10001789,P11276,2e-13,Fibronectin (FN) [Cleaved into: Anastellin],cell organization and biogenesis
CGI_10001851,P28271,0,Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1),developmental processes
CGI_10001851,P28271,0,Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1),protein metabolism
CGI_10001851,P28271,0,Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1),other metabolic processes
CGI_10001930,B0S733,2e-33,Regulator of nonsense transcripts 3A (Up-frameshift suppressor 3 homolog A),RNA metabolism
CGI_10001930,B0S733,2e-33,Regulator of nonsense transcripts 3A (Up-frameshift suppressor 3 homolog A),transport
CGI_10002160,P42765,3e-168,3-ketoacyl-CoA thiolase, mitochondrial (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Mitochondrial 3-oxoacyl-CoA thiolase) (T1),other metabolic processes
CGI_10002232,Q6GPV5,2e-16,E3 ubiquitin-protein ligase RNF181 (EC 2.3.2.27) (RING finger protein 181) (RING-type E3 ubiquitin transferase RNF181),protein metabolism
CGI_10002413,Q5QQ53,0,Xylosyltransferase oxt (EC 2.4.2.26) (Peptide O-xylosyltransferase),other metabolic processes
CGI_10002414,Q5QQ53,3e-23,Xylosyltransferase oxt (EC 2.4.2.26) (Peptide O-xylosyltransferase),other metabolic processes
CGI_10002584,Q9U1M8,2e-159,Myosin-I heavy chain (Class VII unconventional myosin) (DdMVII) (DdM7),cell organization and biogenesis
CGI_10002584,Q9U1M8,2e-159,Myosin-I heavy chain (Class VII unconventional myosin) (DdMVII) (DdM7),cell adhesion
CGI_10002584,Q9U1M8,2e-159,Myosin-I heavy chain (Class VII unconventional myosin) (DdMVII) (DdM7),transport
CGI_10002688,Q01831,2e-26,DNA repair protein complementing XP-C cells (Xeroderma pigmentosum group C-complementing protein) (p125),cell cycle and proliferation
CGI_10002688,Q01831,2e-26,DNA repair protein complementing XP-C cells (Xeroderma pigmentosum group C-complementing protein) (p125),DNA metabolism
CGI_10002688,Q01831,2e-26,DNA repair protein complementing XP-C cells (Xeroderma pigmentosum group C-complementing protein) (p125),cell organization and biogenesis
CGI_10002688,Q01831,2e-26,DNA repair protein complementing XP-C cells (Xeroderma pigmentosum group C-complementing protein) (p125),stress response
CGI_10002688,Q01831,2e-26,DNA repair protein complementing XP-C cells (Xeroderma pigmentosum group C-complementing protein) (p125),signal transduction
CGI_10002774,P53007,3e-102,Tricarboxylate transport protein, mitochondrial (Citrate transport protein) (CTP) (Solute carrier family 25 member 1) (Tricarboxylate carrier protein),transport
CGI_10002774,P53007,3e-102,Tricarboxylate transport protein, mitochondrial (Citrate transport protein) (CTP) (Solute carrier family 25 member 1) (Tricarboxylate carrier protein),other metabolic processes
CGI_10002811,Q6KCD5,0,Nipped-B-like protein (Delangin homolog) (SCC2 homolog),cell cycle and proliferation
CGI_10002811,Q6KCD5,0,Nipped-B-like protein (Delangin homolog) (SCC2 homolog),cell organization and biogenesis
CGI_10002811,Q6KCD5,0,Nipped-B-like protein (Delangin homolog) (SCC2 homolog),stress response
CGI_10002811,Q6KCD5,0,Nipped-B-like protein (Delangin homolog) (SCC2 homolog),RNA metabolism
CGI_10002811,Q6KCD5,0,Nipped-B-like protein (Delangin homolog) (SCC2 homolog),protein metabolism
CGI_10002811,Q6KCD5,0,Nipped-B-like protein (Delangin homolog) (SCC2 homolog),developmental processes
CGI_10003069,Q969S3,3e-56,Zinc finger protein 622 (Zinc finger-like protein 9),signal transduction
CGI_10003069,Q969S3,3e-56,Zinc finger protein 622 (Zinc finger-like protein 9),death
CGI_10003069,Q969S3,3e-56,Zinc finger protein 622 (Zinc finger-like protein 9),stress response
CGI_10003069,Q969S3,3e-56,Zinc finger protein 622 (Zinc finger-like protein 9),other metabolic processes
CGI_10003141,A7YWD2,5e-171,Importin-13 (Imp13),transport
CGI_10003201,Q9DBR7,6e-20,Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1),transport
CGI_10003201,Q9DBR7,6e-20,Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1),RNA metabolism
CGI_10003201,Q9DBR7,6e-20,Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1),cell adhesion
CGI_10003201,Q9DBR7,6e-20,Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1),protein metabolism
CGI_10003201,Q9DBR7,6e-20,Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1),cell cycle and proliferation
CGI_10003201,Q9DBR7,6e-20,Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1),cell organization and biogenesis
CGI_10003308,P49139,1e-177,MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2) (EC 2.7.11.1) (Fragment),cell cycle and proliferation
CGI_10003308,P49139,1e-177,MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2) (EC 2.7.11.1) (Fragment),signal transduction
