Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
zr3616_1_R1_val_1_val_1	1.3983309068574854					
zr3616_1_R1_val_1_val_1_val_1		30.50152456372608	18.0	98.38452057196976	9.090909090909092	158456630.0
zr3616_1_R2_val_2_val_2	2.0440751218360953					
zr3616_1_R2_val_2_val_2_val_2		30.453904522983294	18.0	98.37854125762993	9.090909090909092	158456630.0
zr3616_2_R1_val_1_val_1	1.1058190047991705					
zr3616_2_R1_val_1_val_1_val_1		30.85608952781422	18.0	98.31673298301125	18.181818181818183	164737166.0
zr3616_2_R2_val_2_val_2	1.5958745918839587					
zr3616_2_R2_val_2_val_2_val_2		30.673414169610425	18.0	98.33050212846322	18.181818181818183	164737166.0
zr3616_3_R1_val_1_val_1	1.7287240322511894					
zr3616_3_R1_val_1_val_1_val_1		30.995693322476797	18.0	93.54378762504213	9.090909090909092	184625873.0
zr3616_3_R2_val_2_val_2	2.560440558200574					
zr3616_3_R2_val_2_val_2_val_2		30.8510868789389	18.0	93.52643769489447	9.090909090909092	184625873.0
zr3616_4_R1_val_1_val_1	1.1046565879043584					
zr3616_4_R1_val_1_val_1_val_1		31.73719123212176	18.0	96.20529321009988	9.090909090909092	195404524.0
zr3616_4_R2_val_2_val_2	1.5874400306572718					
zr3616_4_R2_val_2_val_2_val_2		31.422539999912857	18.0	96.21914701422163	9.090909090909092	195404524.0
zr3616_5_R1_val_1_val_1	1.3018695424904796					
zr3616_5_R1_val_1_val_1_val_1		27.857588886763168	18.0	94.7777214385865	9.090909090909092	146393061.0
zr3616_5_R2_val_2_val_2	1.89542701249966					
zr3616_5_R2_val_2_val_2_val_2		28.0736468627601	18.0	94.78234852948393	9.090909090909092	146393061.0
zr3616_6_R1_val_1_val_1	1.498532533473327					
zr3616_6_R1_val_1_val_1_val_1		31.12878141739705	18.0	93.05391692888516	9.090909090909092	191560039.0
zr3616_6_R2_val_2_val_2	2.1815254792922696					
zr3616_6_R2_val_2_val_2_val_2		31.040361084548294	18.0	93.09366575144621	9.090909090909092	191560039.0
zr3616_7_R1_val_1_val_1	0.9792241865937259					
zr3616_7_R1_val_1_val_1_val_1		27.506198274533546	18.0	95.28671371638585	9.090909090909092	147518415.0
zr3616_7_R2_val_2_val_2	1.3970930618945916					
zr3616_7_R2_val_2_val_2_val_2		27.399921853485267	18.0	95.28254271170145	9.090909090909092	147518415.0
zr3616_8_R1_val_1_val_1	1.0866576427753112					
zr3616_8_R1_val_1_val_1_val_1		29.01370282367344	18.0	95.67430162574195	9.090909090909092	159382736.0
zr3616_8_R2_val_2_val_2	1.5622402105053896					
zr3616_8_R2_val_2_val_2_val_2		28.763152582687624	18.0	95.69485485554722	9.090909090909092	159382736.0
