Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	bp_written	percent_trimmed
zr3616_1_R1_val_1_val_1	161104708	17875932	16001858566	3273494	15778099632	1.3983309068574854
zr3616_1_R2_val_2_val_2	161104708	17645060	15998741118	3705302	15671714831	2.0440751218360953
zr3616_2_R1_val_1_val_1	166832019	17883352	16549204997	3301519	16366200743	1.1058190047991705
zr3616_2_R2_val_2_val_2	166832019	17423292	16548960510	4272473	16284859854	1.5958745918839587
zr3616_3_R1_val_1_val_1	188375666	21487316	17824771638	3215006	17516630527	1.7287240322511894
zr3616_3_R2_val_2_val_2	188375666	21144092	17820129803	4295767	17363855972	2.560440558200574
zr3616_4_R1_val_1_val_1	197822142	21373406	19209489295	3593209	18997290406	1.1046565879043584
zr3616_4_R2_val_2_val_2	197822142	20805963	19208738542	4664617	18903811337	1.5874400306572718
zr3616_5_R1_val_1_val_1	148556552	16348719	14222653957	3116855	14037493557	1.3018695424904796
zr3616_5_R2_val_2_val_2	148556552	16112459	14221637036	3330879	13952076286	1.89542701249966
zr3616_6_R1_val_1_val_1	194821663	22011384	18329414001	4444384	18054741769	1.498532533473327
zr3616_6_R2_val_2_val_2	194821663	21438386	18333205768	4157915	17933262213	2.1815254792922696
zr3616_7_R1_val_1_val_1	149080064	15781866	14336134965	2861987	14195752064	0.9792241865937259
zr3616_7_R2_val_2_val_2	149080064	15309340	14333353408	3668034	14133103122	1.3970930618945916
zr3616_8_R1_val_1_val_1	161309784	17262120	15578048811	3003729	15408768753	1.0866576427753112
zr3616_8_R2_val_2_val_2	161309784	16896270	15578772993	3804929	15335395137	1.5622402105053896
