,chr,DMLCount,geneCount,chrCpGCounts,DMLbyChrCpG
1,NC_047559.1,298,3422,1137715,0.000261928514610425
2,NC_047560.1,173,3521,1586202,0.000109065554071928
3,NC_047561.1,361,3790,1152779,0.000313156294484893
4,NC_047562.1,211,3115,1080842,0.000195218172498848
5,NC_047563.1,264,3909,1539451,0.000171489706395332
6,NC_047564.1,309,4117,1188024,0.0002600957556413
7,NC_047565.1,365,4087,1215355,0.000300323773712208
8,NC_047566.1,253,3603,1223148,0.00020684332558284
9,NC_047567.1,149,1826,782930,0.000190310755750833
10,NC_047568.1,369,3701,1113870,0.000331277438121145
11,NW_022994773.1,1,4,2581,0.000387446726075165
12,NW_022994774.1,1,51,25555,3.91312854627275e-05
13,NW_022994778.1,3,26,15464,0.000193998965338852
14,NW_022994784.1,1,63,28327,3.53020086842941e-05
15,NW_022994792.1,1,2,1772,0.000564334085778781
16,NW_022994794.1,1,26,15145,6.60283922086497e-05
17,NW_022994800.1,1,1,1147,0.000871839581517001
18,NW_022994819.1,1,40,14910,6.70690811535882e-05
19,NW_022994824.1,1,12,7632,0.000131027253668763
20,NW_022994844.1,2,50,20839,9.59738951005327e-05
21,NW_022994865.1,1,188,82695,1.2092629542294e-05
22,NW_022994867.1,1,15,4665,0.000214362272240086
23,NW_022994886.1,4,44,16757,0.000238706212329176
24,NW_022994889.1,2,9,2956,0.0006765899864682
25,NW_022994897.1,2,24,11020,0.000181488203266788
26,NW_022994899.1,1,11,2442,0.00040950040950041
27,NW_022994901.1,1,12,2203,0.000453926463912846
28,NW_022994904.1,1,6,3098,0.000322788896061975
29,NW_022994916.1,1,5,1380,0.00072463768115942
30,NW_022994919.1,2,17,3490,0.000573065902578797
31,NW_022994921.1,1,23,6558,0.000152485513876182
32,NW_022994923.1,1,4,1198,0.000834724540901503
33,NW_022994924.1,5,13,2134,0.00234301780693533
34,NW_022994927.1,6,17,2997,0.002002002002002
35,NW_022994928.1,2,6,923,0.00216684723726977
36,NW_022994929.1,2,4,857,0.00233372228704784
37,NW_022994931.1,1,10,2459,0.000406669377795852
38,NW_022994932.1,1,6,1890,0.000529100529100529
39,NW_022994934.1,4,10,3758,0.00106439595529537
40,NW_022994937.1,6,33,10221,0.000587026709715292
41,NW_022994939.1,3,13,6222,0.000482160077145612
42,NW_022994943.1,2,17,6125,0.000326530612244898
43,NW_022994945.1,4,30,13471,0.000296934154851162
44,NW_022994946.1,1,13,7221,0.00013848497438028
45,NW_022994948.1,2,40,17808,0.000112309074573226
46,NW_022994952.1,2,8,3948,0.000506585612968592
47,NW_022994954.1,2,6,2070,0.000966183574879227
48,NW_022994956.1,1,34,8748,0.000114311842706904
49,NW_022994957.1,1,12,3619,0.000276319425255595
50,NW_022994960.1,3,10,2037,0.00147275405007364
51,NW_022994961.1,1,12,3408,0.000293427230046948
52,NW_022994962.1,1,6,3706,0.000269832703723691
53,NW_022994963.1,1,23,6529,0.00015316281206923
54,NW_022994964.1,3,28,3841,0.000781046602447279
55,NW_022994966.1,3,35,9455,0.000317292437863564
56,NW_022994968.1,3,8,1344,0.00223214285714286
57,NW_022994971.1,1,2,485,0.00206185567010309
58,NW_022994972.1,1,10,3602,0.000277623542476402
59,NW_022994977.1,3,13,2613,0.00114810562571757
60,NW_022994983.1,1,9,1777,0.00056274620146314
61,NW_022994985.1,2,16,3404,0.000587544065804935
62,NW_022994986.1,1,7,2320,0.000431034482758621
63,NW_022994989.1,2,12,2474,0.000808407437348424
64,NW_022994991.1,1,17,4331,0.00023089355806973
65,NW_022994993.1,1,17,3874,0.000258131130614352
66,NW_022994997.1,4,23,5240,0.000763358778625954
67,NW_022994998.1,1,3,788,0.00126903553299492
