,chr,DMLCount,geneCount,chrCpGCounts,DMLbyChrCpG
1,NC_047559.1,27,3422,1137715,2.3731778169401e-05
2,NC_047560.1,14,3521,1586202,8.82611420235254e-06
3,NC_047561.1,30,3790,1152779,2.60240687937584e-05
4,NC_047562.1,35,3115,1080842,3.23821613149748e-05
5,NC_047563.1,24,3909,1539451,1.55899733086665e-05
6,NC_047564.1,51,4117,1188024,4.29284256883699e-05
7,NC_047565.1,49,4087,1215355,4.03174381147895e-05
8,NC_047566.1,16,3603,1223148,1.30810008273733e-05
9,NC_047567.1,20,1826,782930,2.55450678860179e-05
10,NC_047568.1,38,3701,1113870,3.41152917306328e-05
11,NW_022994808.1,1,3,555,0.0018018018018018
12,NW_022994937.1,3,33,10221,0.000293513354857646
13,NW_022994949.1,1,7,1920,0.000520833333333333
14,NW_022994957.1,1,12,3619,0.000276319425255595
15,NW_022994962.1,1,6,3706,0.000269832703723691
16,NW_022994964.1,1,28,3841,0.000260348867482426
17,NW_022994977.1,1,13,2613,0.000382701875239189
18,NW_022994985.1,1,16,3404,0.000293772032902468
19,NW_022994993.1,1,17,3874,0.000258131130614352
