geneID,Uniprot,evalue,Product,V10,V11,V12,V13,V14,GOSlim,,,,,,,,,,,,,,,,,,
CGI_10015211,Q6P1C1,8.00E-42,Inositol-pentakisphosphate 2-kinase (EC 2.7.1.158) (Inositol-1,3,4,5,6-pentakisphosphate 2-kinase) (Ins(1,3,4,5,6)P5 2-kinase) (InsP5 2-kinase),inositol phosphate biosynthetic process [GO:0032958]; inositol phosphorylation [GO:0052746],cytoplasm [GO:0005737]; intracellular [GO:0005622]; nucleus [GO:0005634],ATP binding [GO:0005524]; inositol pentakisphosphate 2-kinase activity [GO:0035299],cytoplasm [GO:0005737]; intracellular [GO:0005622]; nucleus [GO:0005634]; ATP binding [GO:0005524]; inositol pentakisphosphate 2-kinase activity [GO:0035299]; inositol phosphate biosynthetic process [GO:0032958]; inositol phosphorylation [GO:0052746],GO:0005524; GO:0005622; GO:0005634; GO:0005737; GO:0032958; GO:0035299; GO:0052746,other metabolic processes,,,,,,,,,,
CGI_10019873,Q6NXK5,9.00E-36,RNA/RNP complex-1-interacting phosphatase (EC 3.1.3.-) (Dual specificity protein phosphatase 11) (Phosphatase that interacts with RNA/RNP complex 1),polynucleotide 5' dephosphorylation [GO:0098507]; protein dephosphorylation [GO:0006470]; RNA metabolic process [GO:0016070],fibrillar center [GO:0001650]; intercellular bridge [GO:0045171]; nuclear speck [GO:0016607]; nucleus [GO:0005634],nucleotide phosphatase activity, acting on free nucleotides [GO:0098519]; phosphatase activity [GO:0016791]; polynucleotide 5'-phosphatase activity [GO:0004651]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; protein tyrosine phosphatase activity [GO:0004725]; RNA binding [GO:0003723],fibrillar center [GO:0001650]; intercellular bridge [GO:0045171]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; nucleotide phosphatase activity, acting on free nucleotides [GO:0098519]; phosphatase activity [GO:0016791]; polynucleotide 5'-phosphatase activity [GO:0004651]; protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; RNA binding [GO:0003723]; polynucleotide 5' dephosphorylation [GO:0098507]; protein dephosphorylation [GO:0006470]; RNA metabolic process [GO:0016070],GO:0001650; GO:0003723; GO:0004651; GO:0004725; GO:0005634; GO:0006470; GO:0008138; GO:0016070; GO:0016607; GO:0016791; GO:0045171; GO:0098507; GO:0098519,protein metabolism,,,,,,,,,,,,,,,,
CGI_10019873,Q6NXK5,9.00E-36,RNA/RNP complex-1-interacting phosphatase (EC 3.1.3.-) (Dual specificity protein phosphatase 11) (Phosphatase that interacts with RNA/RNP complex 1),polynucleotide 5' dephosphorylation [GO:0098507]; protein dephosphorylation [GO:0006470]; RNA metabolic process [GO:0016070],fibrillar center [GO:0001650]; intercellular bridge [GO:0045171]; nuclear speck [GO:0016607]; nucleus [GO:0005634],nucleotide phosphatase activity, acting on free nucleotides [GO:0098519]; phosphatase activity [GO:0016791]; polynucleotide 5'-phosphatase activity [GO:0004651]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; protein tyrosine phosphatase activity [GO:0004725]; RNA binding [GO:0003723],fibrillar center [GO:0001650]; intercellular bridge [GO:0045171]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; nucleotide phosphatase activity, acting on free nucleotides [GO:0098519]; phosphatase activity [GO:0016791]; polynucleotide 5'-phosphatase activity [GO:0004651]; protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; RNA binding [GO:0003723]; polynucleotide 5' dephosphorylation [GO:0098507]; protein dephosphorylation [GO:0006470]; RNA metabolic process [GO:0016070],GO:0001650; GO:0003723; GO:0004651; GO:0004725; GO:0005634; GO:0006470; GO:0008138; GO:0016070; GO:0016607; GO:0016791; GO:0045171; GO:0098507; GO:0098519,RNA metabolism,,,,,,,,,,,,,,,,
CGI_10013781,P47989,4.00E-159,Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)],activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; lactation [GO:0007595]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of gene expression [GO:0010629]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of vascular endothelial growth factor signaling pathway [GO:1900747]; negative regulation of vasculogenesis [GO:2001213]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; purine nucleotide catabolic process [GO:0006195]; xanthine catabolic process [GO:0009115],cytosol [GO:0005829]; extracellular space [GO:0005615]; peroxisome [GO:0005777]; sarcoplasmic reticulum [GO:0016529],2 iron, 2 sulfur cluster binding [GO:0051537]; electron carrier activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; iron ion binding [GO:0005506]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]; protein homodimerization activity [GO:0042803]; xanthine dehydrogenase activity [GO:0004854]; xanthine oxidase activity [GO:0004855],cytosol [GO:0005829]; extracellular space [GO:0005615]; peroxisome [GO:0005777]; sarcoplasmic reticulum [GO:0016529]; 2 iron, 2 sulfur cluster binding [GO:0051537]; electron carrier activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; iron ion binding [GO:0005506]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]; protein homodimerization activity [GO:0042803]; xanthine dehydrogenase activity [GO:0004854]; xanthine oxidase activity [GO:0004855]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; lactation [GO:0007595]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of gene expression [GO:0010629]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of vascular endothelial growth factor signaling pathway [GO:1900747]; negative regulation of vasculogenesis [GO:2001213]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; purine nucleotide catabolic process [GO:0006195]; xanthine catabolic process [GO:0009115],GO:0001933; GO:0001937; GO:0004854; GO:0004855; GO:0005506; GO:0005615; GO:0005777; GO:0005829; GO:0006195; GO:0006919; GO:0007595; GO:0009055; GO:0009115; GO:0010629; GO:0016529; GO:0016614; GO:0016903; GO:0042803; GO:0043546; GO:0045602; GO:0050660; GO:0051537; GO:0051898; GO:1900745; GO:1900747; GO:2000379; GO:2001213,signal transduction,,,,,,,,,,,,
CGI_10013781,P47989,4.00E-159,Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)],activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; lactation [GO:0007595]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of gene expression [GO:0010629]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of vascular endothelial growth factor signaling pathway [GO:1900747]; negative regulation of vasculogenesis [GO:2001213]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; purine nucleotide catabolic process [GO:0006195]; xanthine catabolic process [GO:0009115],cytosol [GO:0005829]; extracellular space [GO:0005615]; peroxisome [GO:0005777]; sarcoplasmic reticulum [GO:0016529],2 iron, 2 sulfur cluster binding [GO:0051537]; electron carrier activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; iron ion binding [GO:0005506]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]; protein homodimerization activity [GO:0042803]; xanthine dehydrogenase activity [GO:0004854]; xanthine oxidase activity [GO:0004855],cytosol [GO:0005829]; extracellular space [GO:0005615]; peroxisome [GO:0005777]; sarcoplasmic reticulum [GO:0016529]; 2 iron, 2 sulfur cluster binding [GO:0051537]; electron carrier activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; iron ion binding [GO:0005506]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]; protein homodimerization activity [GO:0042803]; xanthine dehydrogenase activity [GO:0004854]; xanthine oxidase activity [GO:0004855]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; lactation [GO:0007595]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of gene expression [GO:0010629]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of vascular endothelial growth factor signaling pathway [GO:1900747]; negative regulation of vasculogenesis [GO:2001213]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; purine nucleotide catabolic process [GO:0006195]; xanthine catabolic process [GO:0009115],GO:0001933; GO:0001937; GO:0004854; GO:0004855; GO:0005506; GO:0005615; GO:0005777; GO:0005829; GO:0006195; GO:0006919; GO:0007595; GO:0009055; GO:0009115; GO:0010629; GO:0016529; GO:0016614; GO:0016903; GO:0042803; GO:0043546; GO:0045602; GO:0050660; GO:0051537; GO:0051898; GO:1900745; GO:1900747; GO:2000379; GO:2001213,protein metabolism,,,,,,,,,,,,
CGI_10013781,P47989,4.00E-159,Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)],activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; lactation [GO:0007595]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of gene expression [GO:0010629]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of vascular endothelial growth factor signaling pathway [GO:1900747]; negative regulation of vasculogenesis [GO:2001213]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; purine nucleotide catabolic process [GO:0006195]; xanthine catabolic process [GO:0009115],cytosol [GO:0005829]; extracellular space [GO:0005615]; peroxisome [GO:0005777]; sarcoplasmic reticulum [GO:0016529],2 iron, 2 sulfur cluster binding [GO:0051537]; electron carrier activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; iron ion binding [GO:0005506]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]; protein homodimerization activity [GO:0042803]; xanthine dehydrogenase activity [GO:0004854]; xanthine oxidase activity [GO:0004855],cytosol [GO:0005829]; extracellular space [GO:0005615]; peroxisome [GO:0005777]; sarcoplasmic reticulum [GO:0016529]; 2 iron, 2 sulfur cluster binding [GO:0051537]; electron carrier activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; iron ion binding [GO:0005506]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]; protein homodimerization activity [GO:0042803]; xanthine dehydrogenase activity [GO:0004854]; xanthine oxidase activity [GO:0004855]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; lactation [GO:0007595]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of gene expression [GO:0010629]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of vascular endothelial growth factor signaling pathway [GO:1900747]; negative regulation of vasculogenesis [GO:2001213]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; purine nucleotide catabolic process [GO:0006195]; xanthine catabolic process [GO:0009115],GO:0001933; GO:0001937; GO:0004854; GO:0004855; GO:0005506; GO:0005615; GO:0005777; GO:0005829; GO:0006195; GO:0006919; GO:0007595; GO:0009055; GO:0009115; GO:0010629; GO:0016529; GO:0016614; GO:0016903; GO:0042803; GO:0043546; GO:0045602; GO:0050660; GO:0051537; GO:0051898; GO:1900745; GO:1900747; GO:2000379; GO:2001213,death,,,,,,,,,,,,
CGI_10013781,P47989,4.00E-159,Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)],activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; lactation [GO:0007595]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of gene expression [GO:0010629]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of vascular endothelial growth factor signaling pathway [GO:1900747]; negative regulation of vasculogenesis [GO:2001213]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; purine nucleotide catabolic process [GO:0006195]; xanthine catabolic process [GO:0009115],cytosol [GO:0005829]; extracellular space [GO:0005615]; peroxisome [GO:0005777]; sarcoplasmic reticulum [GO:0016529],2 iron, 2 sulfur cluster binding [GO:0051537]; electron carrier activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; iron ion binding [GO:0005506]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]; protein homodimerization activity [GO:0042803]; xanthine dehydrogenase activity [GO:0004854]; xanthine oxidase activity [GO:0004855],cytosol [GO:0005829]; extracellular space [GO:0005615]; peroxisome [GO:0005777]; sarcoplasmic reticulum [GO:0016529]; 2 iron, 2 sulfur cluster binding [GO:0051537]; electron carrier activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; iron ion binding [GO:0005506]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]; protein homodimerization activity [GO:0042803]; xanthine dehydrogenase activity [GO:0004854]; xanthine oxidase activity [GO:0004855]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; lactation [GO:0007595]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of gene expression [GO:0010629]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of vascular endothelial growth factor signaling pathway [GO:1900747]; negative regulation of vasculogenesis [GO:2001213]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; purine nucleotide catabolic process [GO:0006195]; xanthine catabolic process [GO:0009115],GO:0001933; GO:0001937; GO:0004854; GO:0004855; GO:0005506; GO:0005615; GO:0005777; GO:0005829; GO:0006195; GO:0006919; GO:0007595; GO:0009055; GO:0009115; GO:0010629; GO:0016529; GO:0016614; GO:0016903; GO:0042803; GO:0043546; GO:0045602; GO:0050660; GO:0051537; GO:0051898; GO:1900745; GO:1900747; GO:2000379; GO:2001213,other metabolic processes,,,,,,,,,,,,
CGI_10013781,P47989,4.00E-159,Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)],activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; lactation [GO:0007595]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of gene expression [GO:0010629]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of vascular endothelial growth factor signaling pathway [GO:1900747]; negative regulation of vasculogenesis [GO:2001213]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; purine nucleotide catabolic process [GO:0006195]; xanthine catabolic process [GO:0009115],cytosol [GO:0005829]; extracellular space [GO:0005615]; peroxisome [GO:0005777]; sarcoplasmic reticulum [GO:0016529],2 iron, 2 sulfur cluster binding [GO:0051537]; electron carrier activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; iron ion binding [GO:0005506]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]; protein homodimerization activity [GO:0042803]; xanthine dehydrogenase activity [GO:0004854]; xanthine oxidase activity [GO:0004855],cytosol [GO:0005829]; extracellular space [GO:0005615]; peroxisome [GO:0005777]; sarcoplasmic reticulum [GO:0016529]; 2 iron, 2 sulfur cluster binding [GO:0051537]; electron carrier activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; iron ion binding [GO:0005506]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]; protein homodimerization activity [GO:0042803]; xanthine dehydrogenase activity [GO:0004854]; xanthine oxidase activity [GO:0004855]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; lactation [GO:0007595]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of gene expression [GO:0010629]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of vascular endothelial growth factor signaling pathway [GO:1900747]; negative regulation of vasculogenesis [GO:2001213]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; purine nucleotide catabolic process [GO:0006195]; xanthine catabolic process [GO:0009115],GO:0001933; GO:0001937; GO:0004854; GO:0004855; GO:0005506; GO:0005615; GO:0005777; GO:0005829; GO:0006195; GO:0006919; GO:0007595; GO:0009055; GO:0009115; GO:0010629; GO:0016529; GO:0016614; GO:0016903; GO:0042803; GO:0043546; GO:0045602; GO:0050660; GO:0051537; GO:0051898; GO:1900745; GO:1900747; GO:2000379; GO:2001213,cell cycle and proliferation,,,,,,,,,,,,
CGI_10013781,P47989,4.00E-159,Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)],activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; lactation [GO:0007595]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of gene expression [GO:0010629]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of vascular endothelial growth factor signaling pathway [GO:1900747]; negative regulation of vasculogenesis [GO:2001213]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; purine nucleotide catabolic process [GO:0006195]; xanthine catabolic process [GO:0009115],cytosol [GO:0005829]; extracellular space [GO:0005615]; peroxisome [GO:0005777]; sarcoplasmic reticulum [GO:0016529],2 iron, 2 sulfur cluster binding [GO:0051537]; electron carrier activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; iron ion binding [GO:0005506]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]; protein homodimerization activity [GO:0042803]; xanthine dehydrogenase activity [GO:0004854]; xanthine oxidase activity [GO:0004855],cytosol [GO:0005829]; extracellular space [GO:0005615]; peroxisome [GO:0005777]; sarcoplasmic reticulum [GO:0016529]; 2 iron, 2 sulfur cluster binding [GO:0051537]; electron carrier activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; iron ion binding [GO:0005506]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]; protein homodimerization activity [GO:0042803]; xanthine dehydrogenase activity [GO:0004854]; xanthine oxidase activity [GO:0004855]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; lactation [GO:0007595]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of gene expression [GO:0010629]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of vascular endothelial growth factor signaling pathway [GO:1900747]; negative regulation of vasculogenesis [GO:2001213]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; purine nucleotide catabolic process [GO:0006195]; xanthine catabolic process [GO:0009115],GO:0001933; GO:0001937; GO:0004854; GO:0004855; GO:0005506; GO:0005615; GO:0005777; GO:0005829; GO:0006195; GO:0006919; GO:0007595; GO:0009055; GO:0009115; GO:0010629; GO:0016529; GO:0016614; GO:0016903; GO:0042803; GO:0043546; GO:0045602; GO:0050660; GO:0051537; GO:0051898; GO:1900745; GO:1900747; GO:2000379; GO:2001213,developmental processes,,,,,,,,,,,,
CGI_10012473,P10351,9.00E-145,Xanthine dehydrogenase (XD) (EC 1.17.1.4) (Protein rosy locus),arginine metabolic process [GO:0006525]; compound eye pigmentation [GO:0048072]; determination of adult lifespan [GO:0008340]; glycerophospholipid metabolic process [GO:0006650]; purine nucleobase metabolic process [GO:0006144]; pyrimidine nucleobase metabolic process [GO:0006206]; response to ethanol [GO:0045471]; tryptophan metabolic process [GO:0006568]; xanthine catabolic process [GO:0009115],cytosol [GO:0005829]; peroxisome [GO:0005777],2 iron, 2 sulfur cluster binding [GO:0051537]; electron carrier activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; iron ion binding [GO:0005506]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]; xanthine dehydrogenase activity [GO:0004854]; xanthine oxidase activity [GO:0004855],cytosol [GO:0005829]; peroxisome [GO:0005777]; 2 iron, 2 sulfur cluster binding [GO:0051537]; electron carrier activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; iron ion binding [GO:0005506]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]; xanthine dehydrogenase activity [GO:0004854]; xanthine oxidase activity [GO:0004855]; arginine metabolic process [GO:0006525]; compound eye pigmentation [GO:0048072]; determination of adult lifespan [GO:0008340]; glycerophospholipid metabolic process [GO:0006650]; purine nucleobase metabolic process [GO:0006144]; pyrimidine nucleobase metabolic process [GO:0006206]; response to ethanol [GO:0045471]; tryptophan metabolic process [GO:0006568]; xanthine catabolic process [GO:0009115],GO:0004854; GO:0004855; GO:0005506; GO:0005777; GO:0005829; GO:0006144; GO:0006206; GO:0006525; GO:0006568; GO:0006650; GO:0008340; GO:0009055; GO:0009115; GO:0016614; GO:0016903; GO:0043546; GO:0045471; GO:0048072; GO:0050660; GO:0051537,developmental processes,,,,,,,,,,,,
