GOSlim,CgAllfrequency,CgDMLfrequency,CvAllfrequency,CvDMLfrequency
Cell-Cell Signaling,820,21,26,149
Cell Adhesion,1153,13,42,126
Death,1520,26,87,220
Signal Transduction,3178,66,195,489
Transport,3555,99,139,563
Cell Cycle and Proliferation,2189,56,202,364
Developmental Processes,4223,240,312,608
Cell Organization and Biogenesis,4433,167,315,818
Stress Response,2652,64,194,239
DNA Metabolism,822,34,78,115
RNA Metabolism,2873,61,234,345
Protein Metabolism,3596,85,231,428
Other Metabolic Processes,4101,118,199,393
